,CCCM,NICAM,FV3,ICON,SAM
CAT1,,0.0,2.592820644378662,0.0,2.833949565887451
CAT2,,0.0,2.63554048538208,0.0,2.697955369949341
CAT3,,0.0,2.5905985832214355,0.0,2.567768096923828
CS,,0.0,2.4645185470581055,0.0,2.4314541816711426
