,freq,OLR,ALB,OLR_TTL,ALB_TTL,TTL_FREQ
CAT1,0.5397838653228274,147.64022827148438,0.31504878401756287,141.80410766601562,0.3195567727088928,0.004581894985465116
CAT2,22.969708234521626,167.98895263671875,0.1906244307756424,137.46572875976562,0.22133474051952362,0.15278795445417687
CAT3,37.85011419127397,292.38555908203125,0.06827162206172943,291.9886169433594,0.06856295466423035,0.21376867461622806
CS,38.640393708881575,306.4700927734375,0.0642133355140686,,,
ISO_TTL,0.06510302116801815,302.1968078613281,0.06534881144762039,,,
