,iso_ttl_ci_perc,olr_med,alb_med,olrcs,albcs
DARDAR,0.6211677954554563,,,,
CCCM,1.9773112609055283,191.6875,0.245462566614151,282.29998779296875,0.0704309344291687
NICAM,32.04127040807102,276.73919677734375,0.09548874199390411,289.58987,0.09186319
FV3,2.752833406218381,289.4046630859375,0.10253444314002991,294.48868,0.09334263
ICON,0.8871540552073117,-285.5625,0.19298577601160627,-289.75,0.16851084013568118
SAM,8.937434706577035,298.85809326171875,0.08605594429003816,305.02786,0.07337278544482896
