,freq,OLR,ALB,OLR_TTL,ALB_TTL,TTL_FREQ
CAT1,3.0729786583349865,126.5518569946289,0.6462662220001221,124.98987579345703,0.6472294926643372,0.029779168192615425
CAT2,38.750701777475975,220.76895141601562,0.25685057044029236,218.76358032226562,0.256153404712677,0.36300870521976203
CAT3,49.99688054745955,276.6039123535156,0.23449404537677765,276.4358825683594,0.23312008380889893,0.43052518228729547
CS,8.179439016729486,303.0811767578125,0.25937312841415405,,,
ISO_TTL,0.09008227883915991,294.00408935546875,0.24615606665611267,,,
