,iso_ttl_ci_perc,olr_med,alb_med,olrcs,albcs
DARDAR,0.7170435741864313,,,,
CCCM,3.7804815266075193,208.375,0.19197608530521393,276.8999938964844,0.06553999334573746
NICAM,13.642136009115497,265.38623046875,0.09509838372468948,278.86456,0.06009202
FV3,2.5294514542710638,279.1894836425781,0.10790299624204636,283.7196,0.10291191
ICON,2.066993988111001,275.9375,0.26706586826347306,278.390625,0.23586055582642612
SAM,6.2374286503754846,280.6996154785156,0.10161507379372967,285.63025,0.08251273579405777
