,freq,OLR,ALB,OLR_TTL,ALB_TTL,TTL_FREQ
CAT1,3.4603699401304624,125.41426086425781,0.6871286034584045,112.50569915771484,0.7006510496139526,0.027308227706427154
CAT2,21.5962203348831,202.08514404296875,0.43822622299194336,179.9434814453125,0.4929254353046417,0.08762841758664294
CAT3,39.86114270215334,269.00689697265625,0.2186395823955536,268.4769287109375,0.21717429161071777,0.1293535276814251
CS,35.0822670228331,298.1833801269531,0.20933419466018677,,,
ISO_TTL,0.023332043741859664,285.625,0.20202027261257172,,,
