,CCCM,NICAM,FV3,ICON,SAM
CAT1,,0.0,2.761000156402588,0.0,2.898776054382324
CAT2,,0.0,2.6562371253967285,0.0,2.119475841522217
CAT3,,0.0,2.351710081100464,0.0,1.6615312099456787
CS,,0.0,2.1801393032073975,0.0,1.552374243736267
