,freq,OLR,ALB,OLR_TTL,ALB_TTL
CAT1,1.813379979763681,99.88163757324219,0.6973354816436768,98.01067352294922,0.7016911506652832
CAT2,15.514145058393785,168.79815673828125,0.33638060092926025,118.71859741210938,0.5581063628196716
CAT3,35.24452129529591,279.40582275390625,0.08815480023622513,271.23590087890625,0.09816168248653412
CS,47.42795366654662,295.6916809082031,0.08262868225574493,,
ISO_TTL,0.013828678336848966,292.85528564453125,0.08311809599399567,,
