,CCCM,NICAM,FV3,ICON,SAM
CAT1,,0.0,2.8890843391418457,0.0,2.9454379081726074
CAT2,,0.0,2.8551135063171387,0.0,2.749708890914917
CAT3,,0.0,2.7518703937530518,0.0,2.4485626220703125
CS,,0.0,2.612377405166626,0.0,2.287529230117798
