,freq,OLR,ALB,OLR_TTL,ALB_TTL
CAT1,3.166440661801564,135.546875,0.57679078508737,128.8125,0.5337650323774283
CAT2,19.995156673339636,210.28125,0.3193500168764164,157.0,0.4000011869858867
CAT3,26.64679498595199,265.5625,0.21103959545957854,255.9375,0.22101059745046844
CS,50.19160767890681,295.412109375,0.19961814742573616,,
ISO_TTL,0.012939774636053758,290.9375,0.1935771632471008,,
