,freq,OLR,ALB,OLR_TTL,ALB_TTL,TTL_FREQ
CAT1,2.1106111424546103,103.76284790039062,0.5690608620643616,98.45662689208984,0.570425271987915,0.017778587263489392
CAT2,39.585953038938186,165.79705810546875,0.24915863573551178,146.75277709960938,0.27019739151000977,0.2113463932132293
CAT3,35.95113641434619,270.6298828125,0.09137952327728271,270.88177490234375,0.09078633785247803,0.19012085110350369
CS,22.352299404261018,285.47705078125,0.08042829483747482,,,
ISO_TTL,0.042932791303294575,281.9380798339844,0.08186811208724976,,,
