,freq,OLR,ALB,OLR_TTL,ALB_TTL,TTL_FREQ
CAT1,2.1455947327143874,106.1829605102539,0.6377126574516296,97.45742797851562,0.6406906247138977,0.01687120369017984
CAT2,32.00971343318177,187.16429138183594,0.3804992437362671,158.38623046875,0.3940436840057373,0.12673780894381223
CAT3,32.91793541073969,269.3934631347656,0.2593986690044403,273.1423645019531,0.2598017752170563,0.1521807745980238
CS,32.926756423364154,299.66650390625,0.26743999123573303,,,
ISO_TTL,0.048635183953337734,290.706298828125,0.23442907631397247,,,
