,olr,alb,lwcre,swcre
CAT1,123.15852355957031,0.6939684748649597,170.15805053710938,-233.26090667329757
CAT2,183.2642364501953,0.4230511784553528,110.1052017211914,-121.40747929386862
CAT3,271.461669921875,0.1923219859600067,22.282629013061523,-26.10588657077742
CS,293.88238525390625,0.12949565052986145,0.0,0.0
