,freq,OLR,ALB,OLR_TTL,ALB_TTL
CAT1,2.763654415844411,141.46875,0.5397385222208897,134.75,0.5413908872901678
CAT2,31.233303948198966,202.125,0.24455911512458492,161.0,0.34213410663787147
CAT3,33.18876993261802,264.375,0.11009652853206674,256.4677734375,0.13161217052544977
CS,32.8142717033386,282.65625,0.07048892523027345,,
ISO_TTL,0.02790610201616798,280.609375,0.0712143023187462,,
