,olr,alb,lwcre,swcre
CAT1,109.24628448486328,0.6236386299133301,163.35791015625,-230.21101797124442
CAT2,189.44895935058594,0.3038513958454132,85.90458679199219,-97.91358255556598
CAT3,257.2471618652344,0.11401249468326569,23.937538146972656,-19.13978960474974
CS,278.5338439941406,0.06723726540803909,0.0,0.0
