,catfreq,olr_med,alb_med,olr_ttl,alb_ttl
CAT1,5.707043705033361,121.83887481689453,0.6487299799919128,121.7921371459961,0.6487302184104919
CAT2,65.88177024617647,194.8213348388672,0.14576873183250427,194.72047424316406,0.1457686722278595
CAT3,28.01901314707206,261.46160888671875,0.06863941252231598,261.1347351074219,0.06863974779844284
CS,0.3921729017181066,279.3327941894531,0.059351008385419846,,
