,Unnamed: 1,NICAM_TWP,NICAM_SHL,NICAM_NAU,FV3_TWP,FV3_SHL,FV3_NAU,ICON_TWP,ICON_SHL,ICON_NAU,SAM_TWP,SAM_SHL,SAM_NAU
freq,,0.03242637138286563,0.09008227883915992,0.10704423346195027,0.015881352845766215,0.02893403812948537,0.017541885208983768,0.028355385911591844,0.01191872979060517,0.010999259038428329,0.04289130433050286,0.047736512284723635,0.06658425052912077
olr,,268.94488525390625,294.38714599609375,284.8619079589844,278.97149658203125,293.2183532714844,291.8976135253906,278.9375,-291.5,-289.1484375,284.8009338378906,296.6263732910156,302.69775390625
alb,,0.22051563858985893,0.2459405958652497,0.057835653424263,0.2787087559700012,0.187067985534668,0.08305075019598007,0.2723100458949516,0.2046966279137024,0.07522659302772303,0.3963718712329865,0.2070523053407669,0.06523112207651137
lwcre,,6.385955810546875,-20.858642578125,4.1732177734375,3.9735107421875,-6.18756103515625,2.089141845703125,2.2896875000000136,6.272755984042561,-2.171468098958343,-0.2550811767578125,-7.287750244140625,0.890594482421875
swcre,,,-43.5708684097596,0.16918015266855285,-2.8902082784277683,7.001608880653138,-0.05900731063920781,-1.4239996445851493,3.858899376806101,-0.07363139261012792,0.984997671000454,4.973633234079677,2.726296003378045
