,olr,alb,lwcre,swcre
CAT1,123.10895538330078,0.5880908370018005,161.64222717285156,-177.8934008222202
CAT2,177.23873901367188,0.3544273376464844,107.29132080078125,-81.79803961970255
CAT3,259.0673828125,0.2225385159254074,25.747888565063477,-27.602650393548494
CS,284.7439270019531,0.15620818734169006,0.0,0.0
