,freq,OLR,ALB,OLR_TTL,ALB_TTL,TTL_FREQ
CAT1,3.1261681650858817,118.66648864746094,0.639968991279602,118.6458740234375,0.6399548053741455,0.031238595540856475
CAT2,46.74772544398193,199.77310180664062,0.10485287755727768,199.6610107421875,0.1049613505601883,0.4669857143309701
CAT3,48.99151318165403,272.0119934082031,0.06045021489262581,271.92919921875,0.060472700744867325,0.485654417960756
CS,1.1345932092781612,290.0026550292969,0.0566314272582531,,,
ISO_TTL,0.10704427306076676,284.8619079589844,0.057835653424263,,,
