,catfreq,olr_med,alb_med,olr_ttl,alb_ttl
CAT1,4.7270562158083385,104.58628845214844,0.7049265503883362,102.38064575195312,0.705988883972168
CAT2,28.676855031640685,173.61346435546875,0.4327748119831085,149.24334716796875,0.4451449513435364
CAT3,37.2349851443124,268.0592041015625,0.10198311507701874,266.33111572265625,0.10216086357831955
CS,29.36110360823858,284.0787353515625,0.08621576428413391,,
