,freq,OLR,ALB,OLR_TTL,ALB_TTL,TTL_FREQ
CAT1,4.869011692296028,104.82087707519531,0.7046099305152893,102.571533203125,0.7090261578559875,0.04318811382523294
CAT2,29.59402859350362,173.82118225097656,0.4344277083873749,149.3753662109375,0.4852626919746399,0.15750021549603804
CAT3,37.731195657766115,267.6316833496094,0.10265903174877167,265.9358215332031,0.10447879880666733,0.14917422708002193
CS,27.80576405643424,283.8321533203125,0.08624798059463501,,,
ISO_TTL,0.012309675253111944,281.6036071777344,0.08876320719718933,,,
