,iso_ttl_ci_perc,olr_med,alb_med,olrcs,albcs
DARDAR,0.6406106705507902,,,,
CCCM,3.03595206391478,194.96249389648438,0.31412050127983093,278.5249938964844,0.2086283266544342
NICAM,0.0,nan,nan,,
FV3,4.314717098832125,276.8282470703125,0.26503604650497437,288.92563,0.25324637
ICON,1.3687799176257331,-273.75,0.2501344078477685,-283.5,0.2591277404656973
SAM,6.428265074505308,279.9493713378906,0.2725138409842117,291.85468,0.2497229916447377
