,catfreq,olr_med,alb_med,olr_ttl,alb_ttl
CAT1,3.526347408722196,123.98201751708984,0.6886917948722839,111.11257934570312,0.6930533647537231
CAT2,21.72072218363602,200.99948120117188,0.4348669648170471,175.88412475585938,0.4504552185535431
CAT3,39.58994389995026,269.4509582519531,0.21807409822940826,269.1653747558594,0.21676331758499146
CS,35.16298650769152,298.42083740234375,0.2089608758687973,,
