,freq,TTL_FREQ,OLR,ALB,OLR_TTL,ALB_TTL
CAT1,0.9121171770972037,0.6458055925432756,111.67500305175781,0.6324635148048401,107.5,0.639595627784729
CAT2,36.08521970705726,11.418109187749667,201.4250030517578,0.35784465074539185,163.5749969482422,0.3904157280921936
CAT3,38.04260985352863,2.996005326231691,258.17498779296875,0.24678075313568115,233.5749969482422,0.24317973852157593
CS,24.960053262316906,,291.51251220703125,0.24016907811164856,,
ISO_TTL,3.03595206391478,,194.96249389648438,0.31412050127983093,,
