,freq,TTL_FREQ,OLR,ALB,OLR_TTL,ALB_TTL
CAT1,0.8292131551270487,0.545136068807288,113.42500305175781,0.6194838285446167,106.7750015258789,0.6332389116287231
CAT2,28.63414688918748,6.862389166894353,205.1750030517578,0.2945680320262909,169.3000030517578,0.33179301023483276
CAT3,28.52523195885935,2.3532736234986768,264.4750061035156,0.1238071545958519,252.9499969482422,0.1036481261253357
CS,42.01140799682612,,281.8500061035156,0.06769829988479614,,
ISO_TTL,1.9773112609055283,,191.6875,0.245462566614151,,
