,twp_catfreq,twp_catfreq_ttl,twp_ttlcatfreq,twp_olr_med,twp_alb_med,twp_olr_ttl,twp_alb_ttl,shl_catfreq,shl_catfreq_ttl,shl_ttlcatfreq,shl_olr_med,shl_alb_med,shl_olr_ttl,shl_alb_ttl,nau_catfreq,nau_catfreq_ttl,nau_ttlcatfreq,nau_olr_med,nau_alb_med,nau_olr_ttl,nau_alb_ttl
CAT1,0.021570881883548127,0.01901395157276955,0.8814638027048528,105.44999694824219,0.6282219290733337,102.7249984741211,0.6341328024864197,0.009121171770972037,0.006458055925432756,0.708029197080292,111.67500305175781,0.6324635148048401,107.5,0.639595627784729,0.008292131551270487,0.00545136068807288,0.6574136763710223,113.42500305175781,0.6194838285446167,106.7750015258789,0.6332389116287231
CAT2,0.4816982135809037,0.23834365829801107,0.49479871749198434,195.3249969482422,0.28398656845092773,168.52499389648438,0.32666507363319397,0.3608521970705726,0.11418109187749667,0.31642066420664205,201.4250030517578,0.35784465074539185,163.5749969482422,0.3904157280921936,0.2863414688918748,0.06862389166894353,0.23965753872295928,205.1750030517578,0.2945680320262909,169.3000030517578,0.33179301023483276
CAT3,0.36711684656702076,0.0810495426698471,0.22077315009582574,262.1000061035156,0.09402940422296524,250.1999969482422,0.09957246482372284,0.3804260985352863,0.02996005326231691,0.07875393769688484,258.17498779296875,0.24678075313568115,233.5749969482422,0.24317973852157593,0.2852523195885935,0.023532736234986768,0.08249796625291941,264.4750061035156,0.1238071545958519,252.9499969482422,0.1036481261253357
CS,0.12961405796852743,,,278.8499755859375,0.06791400909423828,,,0.24960053262316906,,,291.51251220703125,0.24016907811164856,,,0.4201140799682612,,,281.8500061035156,0.06769829988479614,,
