,freq,TTL_FREQ,OLR,ALB,OLR_TTL,ALB_TTL
CAT1,2.1570881883548127,1.901395157276955,105.44999694824219,0.6282219290733337,102.7249984741211,0.6341328024864197
CAT2,48.16982135809037,23.834365829801107,195.3249969482422,0.28398656845092773,168.52499389648438,0.32666507363319397
CAT3,36.711684656702076,8.10495426698471,262.1000061035156,0.09402940422296524,250.1999969482422,0.09957246482372284
CS,12.961405796852743,,278.8499755859375,0.06791400909423828,,
ISO_TTL,6.2374286503754846,,208.375000,0.10161507379372967,,
