,catfreq,olr_med,alb_med,olr_ttl,alb_ttl
CAT1,3.4639668348129,112.46743774414062,0.6527607440948486,112.4437026977539,0.6527607440948486
CAT2,47.482763504432675,198.0721893310547,0.10519231855869293,197.96192932128906,0.10519231855869293
CAT3,47.10493545354282,272.0485534667969,0.060467131435871124,271.96600341796875,0.060467224568128586
CS,1.948334207211605,290.0026550292969,0.0566314272582531,,
