,CCCM,NICAM,FV3,ICON,SAM
CAT1,0.030131183624267577,0.6146738529205322,0.22729721665382385,0.1201171875,2.52928993437814
CAT2,0.013328537940979004,0.00022674431966152042,0.024191277101635933,0.021484375,0.0687447056540691
CAT3,0.0056602306365966795,3.078328481009862e-09,0.002352905459702015,0.009765625,0.0
CS,0.0027096502780914306,2.559605638552398e-09,0.00039051374187693,0.005859375,0.0
