,catfreq,olr_med,alb_med,olr_ttl,alb_ttl
CAT1,2.763654415844411,141.46875,0.5397385222208897,134.75,0.5385829603730674
CAT2,31.233303948198966,202.125,0.24455911512458492,195.541015625,0.25080308769238147
CAT3,33.18876993261802,264.375,0.11009652853206674,266.15625,0.10820770808728027
CS,32.8142717033386,282.65625,0.07048892523027345,,
